거래일,거래시간,지역,연료원,전력거래량(MWh)
2025-01-01,4,세종시,태양광,0
2025-01-01,5,세종시,태양광,0
2025-01-01,6,세종시,태양광,0
2025-01-01,7,세종시,태양광,0
2025-01-01,8,세종시,태양광,0.012412
2025-01-01,9,세종시,태양광,1.692117
2025-01-01,10,세종시,태양광,5.789183
2025-01-01,11,세종시,태양광,10.649756
2025-01-01,12,세종시,태양광,14.964824
2025-01-01,13,세종시,태양광,16.859352
2025-01-01,14,세종시,태양광,17.096819
2025-01-01,15,세종시,태양광,14.161777
2025-01-01,16,세종시,태양광,8.884757
2025-01-01,17,세종시,태양광,4.235779
2025-01-01,18,세종시,태양광,1.612271
2025-01-01,19,세종시,태양광,1.451404
2025-01-01,20,세종시,태양광,0.823576
2025-01-01,21,세종시,태양광,0.0952
2025-01-01,22,세종시,태양광,0.003
2025-01-01,23,세종시,태양광,0
2025-01-01,24,세종시,태양광,0
2025-01-01,1,울산시,태양광,0
2025-01-01,2,울산시,태양광,0
2025-01-01,3,울산시,태양광,0
2025-01-01,4,울산시,태양광,0
2025-01-01,5,울산시,태양광,0
2025-01-01,6,울산시,태양광,0
2025-01-01,7,울산시,태양광,0
2025-01-01,8,울산시,태양광,0.176275
2025-01-01,9,울산시,태양광,4.872005
2025-01-01,10,울산시,태양광,16.839909
2025-01-01,11,울산시,태양광,27.884106
2025-01-01,12,울산시,태양광,33.551446
2025-01-01,13,울산시,태양광,35.142439
2025-01-01,14,울산시,태양광,32.78442
2025-01-01,15,울산시,태양광,26.611059
2025-01-01,16,울산시,태양광,15.531656
2025-01-01,17,울산시,태양광,4.386756
2025-01-01,18,울산시,태양광,0.314602
2025-01-01,19,울산시,태양광,0.23256
2025-01-01,20,울산시,태양광,0.42076
2025-01-01,21,울산시,태양광,0.43344
2025-01-01,22,울산시,태양광,0.4062
2025-01-01,23,울산시,태양광,0.12468
2025-01-01,24,울산시,태양광,0
2025-01-01,1,인천시,태양광,0
2025-01-01,2,인천시,태양광,0
2025-01-01,3,인천시,태양광,0
2025-01-01,4,인천시,태양광,0
2025-01-01,5,인천시,태양광,0
2025-01-01,6,인천시,태양광,0
2025-01-01,7,인천시,태양광,0
2025-01-01,8,인천시,태양광,0.000584
2025-01-01,9,인천시,태양광,1.582478
2025-01-01,10,인천시,태양광,7.189477
2025-01-01,11,인천시,태양광,14.419444
2025-01-01,12,인천시,태양광,22.016385
2025-01-01,13,인천시,태양광,25.424059
2025-01-01,14,인천시,태양광,27.079369
2025-01-01,15,인천시,태양광,23.170446
2025-01-01,16,인천시,태양광,16.054353
2025-01-01,17,인천시,태양광,10.685369
2025-01-01,18,인천시,태양광,6.750431
2025-01-01,19,인천시,태양광,4.795428
2025-01-01,20,인천시,태양광,1.361168
2025-01-01,21,인천시,태양광,0.60276
2025-01-01,22,인천시,태양광,0.27456
2025-01-01,23,인천시,태양광,0
2025-01-01,24,인천시,태양광,0
2025-01-01,1,전라남도,태양광,0.560232
2025-01-01,2,전라남도,태양광,0.07576
2025-01-01,3,전라남도,태양광,0
2025-01-01,4,전라남도,태양광,0
2025-01-01,5,전라남도,태양광,0
2025-01-01,6,전라남도,태양광,0.0108
2025-01-01,7,전라남도,태양광,0
2025-01-01,8,전라남도,태양광,3.267688
2025-01-01,9,전라남도,태양광,175.246341
2025-01-01,10,전라남도,태양광,644.274369
2025-01-01,11,전라남도,태양광,1107.711296
2025-01-01,12,전라남도,태양광,1360.171048
2025-01-01,13,전라남도,태양광,1475.652441
2025-01-01,14,전라남도,태양광,1527.880346
2025-01-01,15,전라남도,태양광,1489.147788
2025-01-01,16,전라남도,태양광,1033.460912
2025-01-01,17,전라남도,태양광,767.951255
2025-01-01,18,전라남도,태양광,527.752985
2025-01-01,19,전라남도,태양광,505.309943
2025-01-01,20,전라남도,태양광,421.935246
2025-01-01,21,전라남도,태양광,191.291208
2025-01-01,22,전라남도,태양광,52.542975
2025-01-01,23,전라남도,태양광,12.781292
2025-01-01,24,전라남도,태양광,3.083773
2025-01-01,1,전라북도,태양광,0.32652
2025-01-01,2,전라북도,태양광,0.432896
2025-01-01,3,전라북도,태양광,0.50772
2025-01-01,4,전라북도,태양광,0.482964
2025-01-01,5,전라북도,태양광,0.040708
2025-01-01,6,전라북도,태양광,0
2025-01-01,7,전라북도,태양광,0
2025-01-01,8,전라북도,태양광,0.580419
2025-01-01,9,전라북도,태양광,52.044373
2025-01-01,10,전라북도,태양광,208.195303
2025-01-01,11,전라북도,태양광,364.389537
2025-01-01,12,전라북도,태양광,450.100772
2025-01-01,13,전라북도,태양광,483.460485
2025-01-01,14,전라북도,태양광,475.161117
2025-01-01,15,전라북도,태양광,416.615007
2025-01-01,16,전라북도,태양광,270.437607
2025-01-01,17,전라북도,태양광,119.766195
2025-01-01,18,전라북도,태양광,52.298901
2025-01-01,19,전라북도,태양광,57.30076
2025-01-01,20,전라북도,태양광,51.193802
2025-01-01,21,전라북도,태양광,32.723738
2025-01-01,22,전라북도,태양광,20.729939
2025-01-01,23,전라북도,태양광,9.177617
2025-01-01,24,전라북도,태양광,2.329636
2025-01-01,1,제주도,태양광,0.000288
2025-01-01,2,제주도,태양광,0.000296
2025-01-01,3,제주도,태양광,0.000484
2025-01-01,4,제주도,태양광,0.000304
2025-01-01,5,제주도,태양광,0.000352
2025-01-01,6,제주도,태양광,0.00082
2025-01-01,7,제주도,태양광,0.000368
2025-01-01,8,제주도,태양광,0.934085
2025-01-01,9,제주도,태양광,30.604851
2025-01-01,10,제주도,태양광,117.723004
2025-01-01,11,제주도,태양광,194.708125
2025-01-01,12,제주도,태양광,204.116862
2025-01-01,13,제주도,태양광,188.543047
2025-01-01,14,제주도,태양광,162.646221
2025-01-01,15,제주도,태양광,129.588319
2025-01-01,16,제주도,태양광,94.07402
2025-01-01,17,제주도,태양광,43.433083
2025-01-01,18,제주도,태양광,5.031894
2025-01-01,19,제주도,태양광,2.051507
2025-01-01,20,제주도,태양광,3.313176
2025-01-01,21,제주도,태양광,2.927632
2025-01-01,22,제주도,태양광,2.17958
2025-01-01,23,제주도,태양광,0.51858
2025-01-01,24,제주도,태양광,0.016568
2025-01-01,1,충청남도,태양광,0.6924
2025-01-01,2,충청남도,태양광,0.31016
2025-01-01,3,충청남도,태양광,0.02132
2025-01-01,4,충청남도,태양광,0.0004
2025-01-01,5,충청남도,태양광,8.00E-05
2025-01-01,6,충청남도,태양광,0.00036
2025-01-01,7,충청남도,태양광,0.00016
2025-01-01,8,충청남도,태양광,0.317918
2025-01-01,9,충청남도,태양광,67.761238
2025-01-01,10,충청남도,태양광,264.222944
2025-01-01,11,충청남도,태양광,503.287727
2025-01-01,12,충청남도,태양광,651.677719
2025-01-01,13,충청남도,태양광,722.512358
2025-01-01,14,충청남도,태양광,725.146995
2025-01-01,15,충청남도,태양광,622.093648
2025-01-01,16,충청남도,태양광,406.857044
2025-01-01,17,충청남도,태양광,218.160027
2025-01-01,18,충청남도,태양광,120.844329
2025-01-01,19,충청남도,태양광,109.322273
2025-01-01,20,충청남도,태양광,61.584868
2025-01-01,21,충청남도,태양광,29.567109
2025-01-01,22,충청남도,태양광,14.72546
2025-01-01,23,충청남도,태양광,6.049244
2025-01-01,24,충청남도,태양광,1.55128
2025-01-01,1,충청북도,태양광,0.55572
2025-01-01,2,충청북도,태양광,0.2572
2025-01-01,3,충청북도,태양광,0.28596
2025-01-01,4,충청북도,태양광,0.2844
2025-01-01,5,충청북도,태양광,0.125
2025-01-01,6,충청북도,태양광,0
2025-01-01,7,충청북도,태양광,0
2025-01-01,8,충청북도,태양광,0.184142
2025-01-01,9,충청북도,태양광,16.641488
2025-01-01,10,충청북도,태양광,65.189776
2025-01-01,11,충청북도,태양광,117.501932
2025-01-01,12,충청북도,태양광,159.212428
2025-01-01,13,충청북도,태양광,178.803569
2025-01-01,14,충청북도,태양광,172.07222
2025-01-01,15,충청북도,태양광,146.198215
2025-01-01,16,충청북도,태양광,97.431563
2025-01-01,17,충청북도,태양광,56.674801
2025-01-01,18,충청북도,태양광,38.559524
2025-01-01,19,충청북도,태양광,38.853794
2025-01-01,20,충청북도,태양광,26.788858
2025-01-01,21,충청북도,태양광,12.062845
2025-01-01,22,충청북도,태양광,5.285597
2025-01-01,23,충청북도,태양광,3.020544
2025-01-01,24,충청북도,태양광,1.244824
